algorithm,execution_code,iteration,best_state_value,best_state_fitness
GeneticAlgorithm,7,1,89.62662973,81.2404532435357
GeneticAlgorithm,7,2,-0.4928623032941799,-8.807392587923577
GeneticAlgorithm,7,3,-0.4928623032941799,-8.807392587923577
GeneticAlgorithm,7,4,-0.4928623032941799,-8.807392587923577
GeneticAlgorithm,7,5,6.359571460858889,-9.56639846880148
GeneticAlgorithm,7,6,6.359571460858889,-9.56639846880148
GeneticAlgorithm,7,7,0.19247017816728418,-9.814976797176818
GeneticAlgorithm,7,8,0.19247017816728418,-9.814976797176818
GeneticAlgorithm,7,9,0.19247017816728418,-9.814976797176818
GeneticAlgorithm,7,10,0.19247017816728418,-9.814976797176818
GeneticAlgorithm,7,11,0.19247017816728418,-9.814976797176818
GeneticAlgorithm,7,12,-0.11558007855661045,-9.933146963357474
GeneticAlgorithm,7,13,-0.018353330564847364,-9.998312455114753
GeneticAlgorithm,7,14,-0.0010460448181227617,-9.999994518009593
GeneticAlgorithm,7,15,-0.0010460448181227617,-9.999994518009593
GeneticAlgorithm,7,16,-8.58104375608894e-05,-9.999999963109211
GeneticAlgorithm,7,17,8.58609975066668e-06,-9.999999999630658
GeneticAlgorithm,7,18,3.6326096897958184e-06,-9.99999999993389
GeneticAlgorithm,7,19,9.268342914799837e-07,-9.999999999995696
GeneticAlgorithm,7,20,2.890487868130237e-07,-9.999999999999583
GeneticAlgorithm,7,21,3.217031476066849e-08,-9.999999999999995
GeneticAlgorithm,7,22,-1.4633404628776984e-08,-9.999999999999998
GeneticAlgorithm,7,23,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,24,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,25,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,26,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,27,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,28,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,29,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,30,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,31,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,32,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,33,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,34,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,35,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,36,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,37,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,38,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,39,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,40,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,41,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,42,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,43,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,44,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,45,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,46,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,47,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,48,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,49,-3.4956403353539556e-09,-10.0
GeneticAlgorithm,7,50,-3.4956403353539556e-09,-10.0
